num,type,ra,dec,tic,hip,sdss,apass,kic,dis,teff,lum,mass,rad,mas_IHZ,mas_OHZ,AU_IHZ,AU_OHZ,TRp_IHZ,TRp_OHZ,TRt_IHZ,TRt_OHZ,TRD,Ast_max_IHZ,Ast_max_OHZ,RV_max_IHZ,RV_max_OHZ,RV_E_IHZ,RV_E_OHZ,BR_IR_IHZ,BR__IR_OHZ,RR_IHZ,RR_OHZ,MDTV_IHZ,MDTV_OHZ,MDTIR_IHZ,MDTIR_OHZ,Detect_TR,Detect_RV,Tplanet,500nm,4000nm,7500nm,11000nm,tmag,RVE,MEAN,STD
339,1,125.6994727,-57.44586636,342888854,0,0,0,0,12.9116392,2879,0.001491579,0.126985,0.155236,3.220805723,6.664815736,0.041585881,0.086053696,0.018664508,0.009019717,1.154868511,1.661285783,0.003468906,0.076091012,0.157455189,1.2311313,0.855839968,0.966928262,0.672175139,4.70E-05,1.12E-05,2.96E-07,6.92E-08,45.83833249,22.15160471,790.3160775,381.9242191,0.012162058,0,1.430662736,6.29E-08,9.45E-08,4.15E-06,2.09E-05,12.3359,0.993801498,,
1203,1,3.4357892,80.66451637,0,0,0,0,0,19.2372433,3780.05,0.001219513,0.149791726,0.081649578,1.934149548,3.792509201,0.037207705,0.072957422,0.010972133,0.005595701,0.529017244,0.740778083,0.012539192,0.038736777,0.075955648,1.198376222,0.855805133,0.941202484,0.67214778,0.000121413,2.90E-05,3.70E-07,9.63E-08,76.33141078,38.92841278,1316.058807,671.1795307,0.007411563,0,0.643665834,8.45E-08,1.57E-07,1.04E-05,5.43E-05,14.406208,0.984923624,,
410,1,300.3328431,69.89218424,360020321,0,0,0,0,18.84786755,2899.2,0.001539957,0.125292,0.153335,2.241423265,4.63260296,0.042246049,0.087314687,0.018147851,0.008780596,1.157486747,1.66405099,0.003555452,0.053668788,0.110923354,1.229699002,0.855358584,0.965803338,0.671797061,4.78E-05,1.14E-05,2.87E-07,6.72E-08,65.86723977,31.86898703,1135.642065,549.4652936,0.01183499,0,1.433325027,6.11E-08,9.30E-08,4.21E-06,2.13E-05,13.0999,0.993047824,,
1303,1,130.3315904,59.49165865,0,0,0,0,0,9.497262414,3384,0.0012112,0.147406,0.101532006,3.925910899,7.880992831,0.037285406,0.074847857,0.013615516,0.006782559,0.663831989,0.940542498,0.008109079,0.079899955,0.160393597,1.206775601,0.851738491,0.947799341,0.668953847,8.98E-05,2.15E-05,3.69E-07,9.15E-08,37.60563279,18.73321887,648.3729791,322.9865323,0.009054584,0,0.81403105,8.15E-08,1.38E-07,7.78E-06,4.01E-05,13.082282,0.984110186,,
224,1,342.0938343,12.53622756,88650525,0,1.24E+18,0,0,19.55221517,2874,0.001499391,0.127832,0.156184,2.132588271,4.414279474,0.041696825,0.086308942,0.018728524,0.009047962,1.159609044,1.668353199,0.003426923,0.050048226,0.103595644,1.225412359,0.851737662,0.962436616,0.668953196,4.65E-05,1.11E-05,2.95E-07,6.88E-08,69.22872345,33.4451782,1193.59868,576.6410035,0,0,1.436679423,6.26E-08,9.38E-08,4.11E-06,2.07E-05,13.2829,0.989085826,,
2025,1,54.00339388,-44.51436232,0,0,0,0,0,3.674288979,3319.5,0.001270148,0.143641,0.108053158,10.39891416,20.95633215,0.038208616,0.07699962,0.014139894,0.007016473,0.724473089,1.028456431,0.007159827,0.2171855,0.437681417,1.207629403,0.850687475,0.948469915,0.66812838,8.12E-05,1.94E-05,3.51E-07,8.65E-08,14.19728651,7.044952456,244.7808019,121.4646975,0.009378944,0.589380739,0.88954592,7.72E-08,1.28E-07,7.05E-06,3.62E-05,10.995456,0.983529894,,
245,1,73.01675413,-10.97278255,671631695,0,0,0,0,16.2785322,3557,0.001217626,0.149713643,0.092139278,2.291702589,4.553013691,0.037305554,0.07411638,0.012349271,0.006215851,0.597921565,0.842780673,0.009846635,0.045921718,0.091234445,1.197115632,0.849309049,0.940212418,0.667045767,0.000102618,2.46E-05,3.68E-07,9.33E-08,64.42213065,32.42607504,1110.726391,559.0702594,0.008269402,0,0.730681004,8.26E-08,1.46E-07,8.84E-06,4.58E-05,12.7805,0.979608403,,
1744,1,75.32477273,22.61536007,0,0,0,0,0,14.30856711,3487.06,0.001574165,0.131435,0.109008902,2.967122744,5.919564629,0.042455275,0.084700488,0.012838087,0.006434963,0.80540743,1.137608317,0.007034828,0.067724489,0.135113888,1.197656281,0.847920372,0.940637044,0.665955103,7.51E-05,1.80E-05,2.84E-07,7.14E-08,49.75741698,24.94040911,857.8864997,430.0070537,0.008572864,0,0.985604842,6.34E-08,1.10E-07,6.48E-06,3.35E-05,13.571757,0.978689659,,
112,1,61.48838908,71.27565345,0,0,0,0,0,18.30660264,3906.16,0.001264435,0.151615276,0.077858136,2.064705784,4.019238373,0.037797748,0.0735786,0.010299309,0.005290814,0.50536928,0.705101492,0.013790164,0.040854177,0.079528366,1.181813903,0.847044643,0.928194469,0.665267307,0.000128373,3.07E-05,3.59E-07,9.47E-08,71.50479491,36.7324229,1232.841292,633.3176362,0.006990545,0,0.613419197,8.26E-08,1.59E-07,1.10E-05,5.74E-05,14.19877,0.973644848,,
1734,1,89.24084594,11.74102282,0,0,0,0,0,14.22165588,2919,0.00178007,0.1193,0.165426869,3.193098737,6.5917506,0.045411151,0.093745609,0.018214344,0.00882318,1.326815198,1.906358816,0.003054677,0.080295861,0.165760702,1.215491878,0.845975628,0.954645089,0.664427704,4.07E-05,9.73E-06,2.49E-07,5.83E-08,46.23607843,22.3971404,797.173766,386.157593,0,0,1.642352353,5.29E-08,8.01E-08,3.59E-06,1.81E-05,13.801874,0.981965346,,
