Num,da,RUWE,IHZ,OHZ,f_STB,a_STB,a_STB_I,a_STB_O,type,ra,dec,plx,e_plx,GAIAmag,e_GAIAmag,pmRA,pmDEC,e_pmRA,e_pmDEC,MASS,massSrc,RAD,radSrc,TEFF,TeffSrc,MH,mhSrc,LOGG,loggSrc,lum,e_lum,Tmag,e_Tmag,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,d,e_d,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_Teff,epos_Teff,gaiabp,e_gaiabp,gaiarp,e_gaiarp,_RAJ2000,_DEJ2000,FG,e_FG,FBP,e_FBP,FRP,e_FRP,BP-RP,RV,e_RV,PM,RAJ2000,DEJ2000,AG,E(BP-RP),B-V,PS1,SDSSDR13,SkyMapper2,URAT1,TIC,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,APASS,KIC
1332,,1.035,0.178566371,0.363198931,,,,,I,227.3956209,3.168959073,68.4504,0.0199,10.37806,0.002827,-602.122,481.241,0.02,0.019,0.488351,I/349/starhorse,0.554246996,Estimated,3166.1,GAIA DR3,-0.8098,GAIA DR3,4.0886,GAIA DR3,0.027656286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.712266,0.003441,9.23603,0.003991,15 09 35.5922554732,+03 10 00.552798706,1329600,775.35,282170,523.42,1602300,1893.8,2,,,770.807,227.3983011,3.166820222,0.4255,0.231,,1.12E+17,1.24E+18,,466142019,,,,,,,,,
1333,,1.23,0.301903123,0.581417272,,,,,I,226.220312,5.635849046,52.5048,0.0235,9.238291,0.002771,-607.626,-506.509,0.02,0.02,0.599538,I/349/starhorse,0.58,GAIA,4098.41,GAIA,-0.025845,I/349/starhorse,4.674073,I/349/starhorse,0.081362028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.037256,0.002979,8.363331,0.003801,15 04 53.5261634600,+05 38 17.160679455,3798700,1016,1319800,1267.8,3579500,1324.6,2,-84.35,0.48,791.05,226.2230255,5.638100026,0.449,0.204,,1.15E+17,1.24E+18,,479167915,,,,,,,,,
1334,,1.356,0.1353731,0.274960126,,,,,I,225.334155,5.546794273,66.5428,0.0314,11.074745,0.002881,83.465,-442.629,0.035,0.031,0.398755,I/349/starhorse,0.414183116,Estimated,3189.3,GAIA DR3,-0.4962,GAIA DR3,4.4734,GAIA DR3,0.015902116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.492638,0.004434,9.904657,0.004005,15 01 20.1077619098,+05 32 55.541449390,699920,541.75,137520,436.49,865560,1056.2,3,,,450.43,225.3337823,5.548761514,0.134,0.0957,,,1.24E+18,,478163594,,,,,,,,,
1335,,1.458,0.034396059,0.068873608,0.845896646,0.049600816,0.034396059,0.064805573,I,232.62556,9.434551385,116.0425,0.0435,13.07033,0.002846,-178.853,183.898,0.043,0.038,0.117961,I/349/starhorse,0.091425156,Estimated,3426,GAIA,-0.111799,I/349/starhorse,5.054095,I/349/starhorse,0.001031739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.395958,0.003897,11.690813,0.00388,15 30 30.3277933485,+09 26 01.442614775,111380,73.107,9485,23.764,167040,135.1,4,,,256.529,232.6263658,9.43373406,0.244,0.162,,1.19E+17,1.24E+18,,498186592,,,,,,,,,
1336,,1.314,0.575185417,1.071893473,,,,,I,219.0032581,9.745402017,61.2792,0.0426,7.180698,0.002795,204.813,-250.457,0.037,0.033,0.798093,I/349/starhorse,0.78,GAIA,4759.8,GAIA DR3,-0.093,GAIA DR3,4.518,GAIA DR3,0.308619762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.682708,0.003473,6.518866,0.004009,14 36 00.5602765558,+09 44 47.454573266,25274000,10875,11543000,21982,19571000,24097,1,-9.62,0.15,323.539,219.0023345,9.746515149,0.152,0.076,,,1.24E+18,,499179111,,,,,,,,,
1337,,1.337,0.059531281,0.121921084,,,,,I,223.4053284,11.56684848,51.3255,0.022,13.726353,0.002821,84.064,-741.552,0.025,0.021,0.160643,I/349/starhorse,0.198659848,Estimated,3051.8,GAIA DR3,-0.27,GAIA DR3,5.089,GAIA DR3,0.003067137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.605085,0.004,12.43888,0.004112,14 53 37.1872833494,+11 34 12.519364434,60870,33.94,7823,20.648,83870,125.21,3,,,746.301,223.404947,11.57014427,0.113,0.0693,,1.22E+17,1.24E+18,,508177421,,,,,,,,,
1338,,1.019,0.545721242,1.014607721,,,,,I,221.3497015,13.8453122,53.1607,0.0213,7.596662,0.00276,-231.639,-225.646,0.023,0.022,0.750266,I/349/starhorse,0.68,GAIA,4813.6,GAIA DR3,-0.5628,GAIA DR3,4.5336,GAIA DR3,0.279089727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.071759,0.002825,6.952495,0.0038,14 45 24.1828475659,+13 50 46.734249058,17230000,2483.3,8067000,3282.2,13127000,4753.2,1,-9.8,0.17,323.377,221.3507619,13.84631506,0.025,0.0147,,,1.24E+18,,520184037,,,,,,,,,
1339,,1.439,0.051143289,0.105203363,0.820126667,0.074167268,0.051143289,0.097191247,I,224.1092148,17.9187693,53.4735,0.0282,14.055327,0.002839,-848.101,488.087,0.031,0.032,0.181705086,Estimated,0.179033254,Estimated,2978.6,GAIA DR3,-0.2757,GAIA DR3,5.1153,GAIA DR3,0.002260502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.102182,0.006078,12.728465,0.004032,14 56 27.1623017669,+17 54 59.759937900,44959,28.415,4949,24.614,64235,83.17,3,,,978.522,224.1131763,17.91659998,0.453,0.282,,1.30E+17,1.24E+18,,540188701,,,,,,,,,
1340,0.03144464,8.847,0.988897135,1.783801657,0,0,0,0,I,238.2997173,13.19413184,56.2405,0.2206,5.926571,0.002773,-150.618,-561.24,0.164,0.151,0.948062,I/349/starhorse,0.96,GAIA,5686.8,GAIA DR3,-0.7558,GAIA DR3,4.366,GAIA DR3,1.004344767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.235358,0.0029,5.443751,0.00393,15 53 12.0971773368,+13 11 47.854440914,80227000,22941,43780000,31851,52681000,52272,1,40.18,0.93,581.099,238.3004049,13.19662633,0.0173,0.008,,,1.24E+18,,516191342,,,,,,,,,
1341,,1.542,1.664905053,2.969773224,0.6,0,0,0,I,239.1146974,15.65591259,89.5647,0.1835,3.694426,0.002978,311.183,-1282.767,0.186,0.193,1.400331,I/349/starhorse,1.53,GAIA,6182.6,GAIA DR3,-0.3494,GAIA DR3,4.079,GAIA DR3,3.022689152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.996347,0.006982,3.292868,0.00419,15 56 27.1826577018,+15 39 41.809580382,626870020,652860,344249984,2029200,381950016,636480,1,7.11,0.43,1319.972,239.1132611,15.66161383,,,,,,,529197315,,,,,,,,,
